url;home
aol.co.uk/news/2018/09/14/a-threat-to-lifea-risk-warning-as-storm-helene-heads-for-uk-a;False
aol.co.uk/news/2018/09/20/denise-mueller-korenek-breaks-world-record-for-fastest-bike-ride;False
aol.co.uk/news/2018/09/30/man-faces-murder-charge-after-two-women-die-in-village-stabbing;False
aol.co.uk/sport/world-cup-2018;True
ard.de/home/die-ard/Die_ARD_Startseite/84050/index.html;True
areamobile.de/news/49663-xiaomi-fegt-das-redmi-k20-oneplus-vom-markt;False
articles.immobilier.lefigaro.fr;True
articles.immobilier.lefigaro.fr/449203977/annonces/edito/acheter/les-prix-de-l-immobilier/prix-immobilier-quel-est-le-departement-le-plus-cher-en-idf?utm_source=presta_edito&utm_medium=email&sub_id_1=36-OBS-5cc6100576fa536;False
articles.immobilier.lefigaro.fr/459204005/article/ces-eglises-qui-ne-bruleront-jamais_772a9892-61ff-11e9-bcd4-4acccf2c010d?utm_source=presta_edito&utm_medium=email%20&sub_id_1=93-OBS-5cd3cc0074dd993;False
astro.rtl.fr/horoscope;True
astro.rtl.fr/horoscope-semaine/cancer;True
avis-de-deces.ouest-france.fr/20181128/celine-mevel-708291;False
bbc.co.uk/account/tv;True
bbc.co.uk/cbbc/games;True
bbc.co.uk/cbeebies;True
bbc.co.uk/cbeebies/games;True
bbc.co.uk/cbeebies/games/peter-rabbit-hop-to-it;True
bbc.co.uk/cbeebies/games/swashbuckle-my-swashbuckle-adventure;True
bbc.co.uk/cbeebies/shows/bing;True
bbc.co.uk/events/e4q9hn/artists/by/a-z;True
bbc.co.uk/mediacentre;True
bbc.co.uk/mediacentre/latestnews/2019/rajar-2019-q1;False
bbc.co.uk/mediacentre/proginfo;True
bbc.co.uk/news/av/stories-45346526/pakistan-s-mansions-of-heartache;False
bbc.co.uk/news/av/uk-england-45800683/travellers-respond-after-council-clear-up-costs-revealed;False
bbc.co.uk/news/av/uk-england-london-45882482/david-oyelowo-hollywood-star-receives-honorary-doctorate;False
bbc.co.uk/news/av/uk-england-norfolk-45515656/van-launched-into-the-air-during-attleborough-crash;False
bbc.co.uk/news/av/world-asia-45662350/baby-shark-the-toddler-tune-taking-over-your-world;False
bbc.co.uk/news/av/world-us-canada-45843072/edward-curtis-was-this-the-most-ambitious-photo-project-ever;False
bbc.co.uk/news/blogs-trending-45402404;False
bbc.co.uk/news/blogs-trending-45747582;False
bbc.co.uk/news/business-45419805;False
bbc.co.uk/news/business-45446153;False
bbc.co.uk/news/business/companies;True
bbc.co.uk/news/england/beds_bucks_and_herts;True
bbc.co.uk/news/england/cornwall;True
bbc.co.uk/news/england/hampshire;True
bbc.co.uk/news/england/kent;True
bbc.co.uk/news/england/lancashire;True
bbc.co.uk/news/england/london;True
bbc.co.uk/news/england/manchester;True
bbc.co.uk/news/england/merseyside;True
bbc.co.uk/news/england/suffolk;True
bbc.co.uk/news/england/tees;True
bbc.co.uk/news/entertainment-arts-37248049?SThisFB;False
bbc.co.uk/news/entertainment-arts-45381608;False
bbc.co.uk/news/entertainment-arts-45441860;False
bbc.co.uk/news/entertainment-arts-45459664;False
bbc.co.uk/news/entertainment-arts-45465621;False
bbc.co.uk/news/entertainment-arts-45613563;False
bbc.co.uk/news/entertainment-arts-45706667;False
bbc.co.uk/news/health;True
bbc.co.uk/news/localnews;True
bbc.co.uk/news/politics/parliaments;True
bbc.co.uk/news/scotland/edinburgh_east_and_fife;True
bbc.co.uk/news/scotland/glasgow_and_west;True
bbc.co.uk/news/scotland/highlands_and_islands;True
bbc.co.uk/news/scotland/tayside_and_central;True
bbc.co.uk/news/stories-42820884;False
bbc.co.uk/news/topics/c40rjmqdww3t/lloyds-banking-group;True
bbc.co.uk/news/uk-25599046;False
bbc.co.uk/news/uk-45572946;False
bbc.co.uk/news/uk-45650969;False
bbc.co.uk/news/uk-45812210;False
bbc.co.uk/news/uk-45812210?ns_mchannel=social&ocid=socialflow_facebook&ns_source=facebook&ns_campaign=bbcnews;False
bbc.co.uk/news/uk-45861683;False
bbc.co.uk/news/uk-england-bristol-45539841;False
bbc.co.uk/news/uk-england-hampshire-45289228;False
bbc.co.uk/news/uk-england-hampshire-45602283;False
bbc.co.uk/news/uk-england-kent-45670445;False
bbc.co.uk/news/uk-england-london-45617845;False
bbc.co.uk/news/uk-england-london-45623831;False
bbc.co.uk/news/uk-england-london-45894777;False
bbc.co.uk/news/uk-england-sussex-32309517;False
bbc.co.uk/news/uk-northern-ireland-45876428;False
bbc.co.uk/news/uk-politics-45897253;False
bbc.co.uk/news/uk-scotland-45390300;False
bbc.co.uk/news/uk-scotland-glasgow-west-45601172;False
bbc.co.uk/news/uk-scotland-highlands-islands-45420493#_=_;False
bbc.co.uk/news/uk-scotland-tayside-central-45492102;False
bbc.co.uk/news/uk-wales-45497564;False
bbc.co.uk/news/uk-wales-45732231;False
bbc.co.uk/news/uk-wales-45747632;False
bbc.co.uk/news/uk-wales-45890066;False
bbc.co.uk/news/wales/south_east_wales;True
bbc.co.uk/news/world-asia-china-45692551;False
bbc.co.uk/news/world-australia-45553010;False
bbc.co.uk/news/world-europe-17615784;False
bbc.co.uk/news/world-europe-39835609;False
bbc.co.uk/news/world-europe-45474533;False
bbc.co.uk/news/world-latin-america-45853434;False
bbc.co.uk/news/world-us-canada-45452954;False
bbc.co.uk/news/world-us-canada-45644374?ns_source=facebook&ns_campaign=bbcnews&ocid=socialflow_facebook&ns_mchannel=social;False
bbc.co.uk/news/world-us-canada-45661291;False
bbc.co.uk/news/world-us-canada-45880501#;False
bbc.co.uk/news/world/asia;True
bbc.co.uk/news/world/australia;True
bbc.co.uk/news/world/europe;True
bbc.co.uk/news/world/latin_america;True
bbc.co.uk/news/world/middle_east;True
bbc.co.uk/news/world/us_and_canada;True
bbc.co.uk/newsbeat/article/37759381/kim-kardashian-west-drops-paris-robbery-lawsuit;False
bbc.co.uk/programmes/articles/1X4ySd2Dzmg00cg4ZDc8DmC/voting-info;False
bbc.co.uk/programmes/b006m86d;True
